{'5_flow_ch': '0.0', 'Number': 32764, '2_flow_ch': '0.94', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.60', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.34'}
{'5_flow_ch': '0.0', 'Number': 32765, '2_flow_ch': '0.64', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.26', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.07'}
{'5_flow_ch': '0.0', 'Number': 32766, '2_flow_ch': '0.98', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.18', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.37'}
{'5_flow_ch': '0.0', 'Number': 32767, '2_flow_ch': '0.71', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.45', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.22'}
{'5_flow_ch': '0.0', 'Number': 32768, '2_flow_ch': '0.98', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.68', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.49'}
{'5_flow_ch': '0.0', 'Number': 32769, '2_flow_ch': '0.68', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.49', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.26'}
{'5_flow_ch': '0.0', 'Number': 32770, '2_flow_ch': '1.06', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.56'}
{'5_flow_ch': '0.0', 'Number': 32771, '2_flow_ch': '0.71', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.56', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.34'}
{'5_flow_ch': '0.0', 'Number': 32772, '2_flow_ch': '0.79', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.45', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.56'}
{'5_flow_ch': '0.0', 'Number': 32773, '2_flow_ch': '0.75', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.11', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.53'}
{'5_flow_ch': '0.0', 'Number': 32774, '2_flow_ch': '0.49', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.37', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.37'}
{'5_flow_ch': '0.0', 'Number': 32775, '2_flow_ch': '0.87', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.18', '3_flow_ch': '0.79', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.49'}
{'5_flow_ch': '0.0', 'Number': 32776, '2_flow_ch': '0.56', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.41'}
{'5_flow_ch': '0.0', 'Number': 32777, '2_flow_ch': '0.94', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.26', '3_flow_ch': '0.94', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.71'}
{'5_flow_ch': '0.0', 'Number': 32778, '2_flow_ch': '0.41', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.30', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.45'}
{'5_flow_ch': '0.0', 'Number': 32779, '2_flow_ch': '0.87', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.45', '3_flow_ch': '0.87', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.64'}
{'5_flow_ch': '0.0', 'Number': 32780, '2_flow_ch': '0.45', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.45', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.49'}
{'5_flow_ch': '0.0', 'Number': 32781, '2_flow_ch': '0.75', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.41', '3_flow_ch': '0.87', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.56'}
